term,definition
(be) attributed to,"~에 기인하다, ~의 덕분으로 여겨지다 
- Our success can be attributed to your hard work."
**avert,"피하다**, 방지하다, 막다 
<'vert' (turn) 
:divert 전환시키다 convert 개종시키다 subvert 전복시키다"
**betray,"1. 배신, 배반하다 
2.(원칙, 신뢰 등을)저버리다 
3. 은연중에 ""드러내다"" reveal, disclose, bespeak 
- Her laugh betrayed her contempt for the idea."
**challenge,"이의를 제기하다, resist 
(A) challenge (-A)"
**champion,"지지하다, 옹호하다 *advocate, bolster, buttress 
(A) champion (A)"
**compromise,"(-) (명예, 원칙) 약화시키다, 위태롭게 하다, 훼손하다, ;타협하다"
**elusive,"difficult to find ""알수 없을 때"" 이해, 정의하기 힘든 <'elude' 피하다 
- The truth may prove elusive."
**engaging,"매혹하는, 매력적인 attractive"
**epitome,"1. 전형, 모범, 완벽한 예 perfect example 
archetype, exemplar
2. 요약, 줄거리"
**eschew,"피하다, 삼가다"
**fatuous,어리석은 stupid
**feckless,"1.쓸모없는 uesless, bootless; 
2.무책임한 irresponsible"
**nebulous,"흐릿한, 모호한 unclear, vague
(nebula 구름)"
**numinous,"신비한, 초자연적인, 신의 존재를 생각하게 하는"
**obsequious,"아부하는
sycophantic"
**offset,상쇄하다
**pastiche,"혼합물, 파스티셰(그림등이 여러 스타일 혼합한 작품)
hodgepodge"
**propo'nent,"지지자
champion"
**recalcitrant,"저항하는, 다루기 힘든, *고집센*
refractory, restive*
ex)Unfortunately, I should teach a class of recalcitrant fifteen-year-olds."
**recondite,"**난해한, 모호한 abstruse, obscure"
**shun,"기피하다
dodge, avoid, evade, skirt, shirk"
**sycophantic,아첨하는 =obsequious*
*audacious,"용감한, 겁없는; 무모한"
*aversion,"혐오감 
a. averse 혐오하는"
*awry,"1. (계획 등) 빗나간, 잘못된 
2. 구부러진, 비뚤어진, 헝클어진 askew*"
*baffle,"1.당황하게 하다 (abash) ~~bewilder bemuse befuddle
2.(계획) 좌절시키다"
*banal,진부한 arid
*belie,"1. 잘못임을 드러내다, 모순되다, 상반되다 contradict
- Smile belies sorrow. (belie 앞뒤 상반 표현)
2. -을 잘못 전하다; (감정 따위)를 숨기다 mask"
*berate,"호되게 꾸짖다, ""비난하다"""
*bogus,가짜의 (fake) apocryphal(출처가 불분명한)
*bolster,"지탱하다, 지지하다, 강화하다 support, buttress"
*bravado,"허세 bluster, bombast, pompous"
*bucolic,"전원적인 rural, rustic, pastoral"
*buoyant,"1. 부력이 있는 2. 기운찬, 명량한 lighthearted; cheerful"
*buttress,"1. 부벽 2. 지탱하다, 지지하다 bolster"
*calamity,"재앙, 재난 *debacle"
*callous,"무관심한, 냉담한, 무감각한 <굳은 살 박힌"
*callow,"미성숙한, 경험이 없는 immature"
*camouflage,"1. 위장, 속임 2. 위장하다"
*capricious,"변덕스러운 
fickle, mercurial"
*castigate,"징계, 비난하다 ↓ 
chastise, chide, censure, condemn; reprimand 
<> 칭찬"
*censorious,"매우 비난(비판)적인, expressing ""censure""* 
**주의 censure 비난하다 - censor 검열하다"
*chariness,"1. 조심스러움, 조심성 caution 2. 근검, 인색함 //
[a] chary 1. 조심하는, 신중한 wary, circumspect, cautious, heedful (heed=care) 2. 절약하는"
*chivalrous,"기사도적인, 용감한, 예의 바른 ""brave & noble""
<chival 기사"
*circumlocution,"에둘러 말하기, 장황, 둘러대기"
*circumscribe,"제한하다 restrict, limit"
*circumvent,"(법, 제한 등을) 피하다 bypass"
*clandestine,"비밀의, 은밀한 covert, cryptic"
*commensurate,"1. 동등한, 같은 크기의 equal 
2. 비례하는 
- Salary will be commensurate with experience"
*commonplace,(-)1. 진부한 2. 진부한 문구
*compelling,"1. 주목하지 않을 수 없는, 매우 흥미로운* captivating 2. 설득력 있는"
*composure,평상심
*debilitate,쇠약하게 만들다 infirm
*debunk,"허구임을 드러내다, 틀렸음을 드러내다
-The article debunks the notion that life exists on Mars."
*decorum,"단정함, 예의 바름"
*decry,↓비난하다
*defer,"1. 연기하다, 미루다 2. 뜻을 따라주다"
*deference,존중 경의
*deferential,공손한
*definitive,"결론적인, 확정적인/ 최고의 =authoritative"
*deft,"솜씨 좋은, 민첩한 dexterous 
cf) daft 바보같은 어리석은 미친"
*defy,"저항/도전하다, 불복종하다 
disobey, disregard(ignore)
a.defiant"
*deleterious,"해로운 
detrimental"
*delude,"속이다, 기만하다 beguile, mislead, deceive, fool"
*demur,"이의 제기하다, 반대하다 object"
*denigrate,"↓1.(명예)훼손하다 defame 
 2.비난하다, 폄하하다"
*deprecate,"↓1.비난하다, 반대하다 2.깎아내리다
disparage, depreciate"
*derelict,"1. (건물 등) 방치된, 버려진* abandoned 
2. 태만한 ;de + relinquish"
