term,definition,ipa,synonyms,antonyms
#separator:tab,,,,
#html:false,,,,
marginal,"""adj. of secondary or minor importance; not central. """"it seems likely to make only a marginal difference"""" """"the difference is marginal""""""",,"slight, small, tiny, minute, insignificant, minimal, negligible",
idiosyncrasy,""" n. a mode of behavior or way of thought peculiar to an individual. """"one of his little idiosyncrasies was always preferring to be in the car first""""   n. a distinctive or peculiar feature or characteristic of a place or thing. """"the idiosyncrasies of the prison system"""" """,ˌidēəˈsiNGkrəsē,"peculiarity, individual/personal trait, oddity, eccentricity, mannerism, quirk, whim, whimsy, fancy, fad, vagary, notion, conceit, caprice, kink, twist, freak, fetish, passion, bent, foible, crotchet, habit, characteristic, speciality, quality, feature",
incendiary,""" adj. capable of catching fire spontaneously; arousing to action or rebellion """"incendiary bombs""""  """,inˈsendēˌerē,"combustible, flammable, inflammable",
presumptuous,""" adj.(of a person or their behavior) failing to observe the limits of what is permitted or appropriate. """"I hope I won't be considered presumptuous if I offer some advice"""" """"the duchess would not put up with presumptuous servants""""""",prəˈzəm(p)(t)SH(o͞o)əs,"brazen, overconfident, arrogant, bold, audacious, forward, familiar, impertinent, insolent, impudent, cocky",
discern,""" v. distinguish (someone or something) with difficulty by sight or with the other senses. """"she could faintly discern the shape of a skull"""" """,dəˈsərn,"perceive, make out, pick out, detect, recognize, notice, observe, see, spot",
portcullis,n. gate consisting of an iron or wooden grating that hangs in the entry to a castle or fortified town,ˌpôrtˈkələs,,
provenance,""" n. the place of origin or earliest known history of something. """"an orange rug of Iranian provenance"""" """,ˈprävənəns,"origin, source, place of origin",
harness,""" n. a set of straps and fittings by which a horse or other draft animal is fastened to a cart, plow, etc., and is controlled by its driver.    v. control and make use of (natural resources), especially to produce energy. """"attempts to harness solar energy"""" """,ˈhärnəs,"tack, tackle, equipment, control, exploit, utilize, use, employ, make use of, put to use",
